id,budget,revenue,popularity,vote_average,release_year,director
9313,0,0,1.285846,6.1,1998,Randall Wallace
8656,75000000,140464664,1.283006,5.6,1998,Mimi Leder
2157,80000000,136159423,1.282567,4.9,1998,Stephen Hopkins
9631,50000000,44547681,1.242498,6.7,1998,F. Gary Gray
297,90000000,142940100,1.22669,6.8,1998,Martin Brest
944,140000000,285444603,1.206274,6.1,1998,Richard Donner
3600,65000000,40002112,1.175952,4.9,1998,Danny Cannon
929,130000000,379014294,1.170499,5.1,1998,Roland Emmerich
6435,75000000,46683377,1.164656,6.2,1998,Griffin Dunne
10153,75000000,13100000,1.152417,5.6,1998,Barry Levinson
6068,70000000,164000000,1.095887,5.6,1998,Ivan Reitman
1878,18500000,10680275,1.090942,7.1,1998,Terry Gilliam
1934,25000000,289317794,1.059234,6.7,1998,John Madden
9342,95000000,250288523,1.057585,6.1,1998,Martin Campbell
10663,23000000,185991646,1.053252,5.8,1998,Frank Coraci
1965,60000000,128038368,1.041331,6.3,1998,Andrew Davis
473,60000,3221152,1.011829,6.9,1998,Darren Aronofsky
795,55000000,198685114,1.001818,6.4,1998,Brad Silberling
9820,0,0,0.999651,6.7,1998,Nancy Meyers
8741,52000000,98126565,0.992143,6.8,1998,Terrence Malick
9745,27000000,0,0.988657,5.4,1998,Troy Miller
11551,40000000,54682547,0.968861,6.1,1998,Joe Dante
3050,71000000,294456605,0.962802,5.3,1998,Betty Thomas
200,70000000,118000000,0.931643,6.2,1998,Jonathan Frakes
9489,65000000,250821495,0.922354,6.2,1998,Nora Ephron
11808,60000000,102367405,0.904602,6.1,1998,Stuart Baird
4518,30000000,82150642,0.893937,6.8,1998,Shekhar Kapur
1389,48000000,77745568,0.884735,6.3,1998,Steven Soderbergh
11003,18000000,123306987,0.878645,6.4,1998,Frank Coraci
11545,0,0,0.870429,7.5,1998,Wes Anderson
9454,26000000,65705772,0.823964,6.8,1998,Andy Tennant
10312,50000000,202292902,0.792566,6.9,1998,Tom Shadyac
9411,0,25232289,0.790739,6.5,1998,Gregory Hoblit
9877,14000000,72527595,0.783938,5.4,1998,Jamie Blanks
18937,0,0,0.767289,6.8,1998,Frederik Du Chau
10220,12000000,22921898,0.760447,6.6,1998,John Dahl
4415,0,14096321,0.737255,6.7,1998,Bille August
9424,15000000,17507368,0.722412,5.6,1998,David Nutter
9447,90000000,69131860,0.718275,5.1,1998,George Miller
10941,0,0,0.710631,6.2,1998,Jes¨²s Salvador Trevi?o
100,1350000,3897569,0.699007,7.3,1998,Guy Ritchie
11508,0,0,0.690469,4.1,1998,Dave Payne
17037,30000000,0,0.680245,5.1,1998,Arlene Sanford
9441,0,0,0.673188,6.9,1998,Chris Columbus
9429,17000000,30331165,0.669113,6.2,1998,John Fortenberry
547,60000000,186883563,0.653163,7.0,1998,Robert Redford
9822,90000000,0,0.651772,5.9,1998,Ron Underwood
9715,0,0,0.643358,5.7,1998,Forest Whitaker
11932,25000000,50671850,0.640933,5.4,1998,Ronny Yu
9945,20000000,0,0.62685,5.8,1998,John Carpenter
3682,13000000,16757163,0.616116,5.5,1998,Mark Christopher
9410,25000000,55494066,0.607687,6.5,1998,Alfonso Cuar¨®n
20235,0,0,0.583938,5.8,1998,Cullen Blaine
9882,70000000,116672912,0.577192,6.0,1998,Edward Zwick
8688,73000000,103891409,0.576682,5.6,1998,Brian De Palma
9827,0,5624282,0.566294,5.1,1998,Joe Chappelle
9440,65000000,0,0.563458,5.7,1998,Mike Nichols
10215,6000000,58000000,0.562005,6.4,1998,Peter Howitt
17337,0,0,0.556051,5.5,1998,Charles Grosvenor
26269,0,0,0.55599,6.6,1998,Robert Benton
16980,8000000,0,0.553869,7.0,1998,Whit Stillman
9320,60000000,48522832,0.539133,4.6,1998,Jeremiah S. Chechik
24793,0,0,0.537708,5.2,1998,Roger Young
8838,60000000,0,0.536002,5.9,1998,Harold Becker
22796,20000000,18253415,0.53388,6.9,1998,Mark Steven Johnson
9448,13000000,27007143,0.521096,6.1,1998,Kirk Wong
2657,0,0,0.505324,6.8,1998,Gary Ross
11568,28000000,14051384,0.497373,5.6,1998,John Landis
9469,25000000,21567853,0.496059,6.6,1998,Spike Lee
11258,70000000,19870567,0.492559,5.4,1998,Mikael Salomon
9422,70000000,56702901,0.488243,6.0,1998,Steven Zaillian
33719,0,0,0.478856,6.5,1998,William R. Kowalchuk Jr.
14533,0,0,0.47743,6.7,1998,Michael Cristofer
10683,3000000,2807390,0.477036,6.9,1998,Todd Solondz
11702,30000000,19204929,0.469693,6.2,1998,Antoine Fuqua
9458,50000000,0,0.467778,5.9,1998,Barbet Schroeder
1808,0,1053788,0.462677,6.7,1998,Todd Haynes
6396,0,299200,0.460139,7.2,1998,James Merendino
46992,0,0,0.458427,5.9,1998,Anand Tucker
3513,20000000,0,0.455743,4.9,1998,Peter MacDonald
18316,0,0,0.445,5.1,1998,Kevin Hooks
28302,0,0,0.435855,5.8,1998,Richard Rich
9276,15000000,40283321,0.433845,6.1,1998,Robert Rodriguez
825,20000000,3970078,0.423925,6.7,1998,Willard Carroll
9821,0,0,0.420915,7.4,1998,Peter Chelsom
9466,0,0,0.419482,5.9,1998,Woody Allen
9033,0,0,0.41932,5.3,1998,Greg Spence
14013,0,7027290,0.299293,5.6,1998,David Zucker
9812,0,0,0.41266,7.0,1998,Skip Woods
9713,60000000,0,0.404482,4.8,1998,Stephen Herek
7096,0,0,0.400944,5.8,1998,Steve Barron
16146,650000,0,0.399489,4.6,1998,Don Coscarelli
15805,0,0,0.398891,6.8,1998,Boyd Kirkland
15037,10000000,25605015,0.396129,6.2,1998,Harry Elfont
11675,17000000,55041738,0.388858,5.7,1998,Steve Miner
11252,60000000,37141130,0.38868,4.9,1998,Gus Van Sant
12706,0,0,0.678149,6.6,1998,Mike Hodges
2042,10000000,0,0.383831,7.0,1998,Predrag Antonijevi?
9457,45000000,11203026,0.383321,5.8,1998,Stephen Sommers
14283,18000000,9495408,0.375143,6.6,1998,Fran?ois Girard
10223,0,0,0.375026,6.5,1998,Sam Raimi
10029,30000000,9898412,0.366598,6.2,1998,Peter Berg
9425,75000000,14567883,0.577579,5.8,1998,Paul W.S. Anderson
6058,25000000,0,0.353474,4.1,1998,Dean Semler
9844,5000000,5879254,0.349511,5.4,1998,Don Roos
37636,0,1929168,0.344091,6.1,1998,Lisa Cholodenko
8583,0,0,0.338845,6.6,1998,Marshall Herskovitz
39345,0,0,0.331874,5.4,1998,Sean McNamara
36136,0,0,0.33113,6.3,1998,Larry Clark
30949,0,0,0.328442,6.1,1998,Volker Schl?ndorff
31473,0,0,0.328272,5.7,1998,Larry Latham
14557,0,0,0.315454,5.1,1998,Alan Cohn
50942,0,0,0.455013,3.8,1998,Stuart Gillard
9771,0,3572443,0.30829,4.7,1998,John Warren
9452,30000000,29202884,0.305742,6.2,1998,Warren Beatty
14444,0,100491683,0.301614,5.6,1998,Norton Virgien
12488,0,0,0.360079,6.2,1998,Robert Altman
35680,0,0,0.293252,4.8,1998,Daisy von Scherler Mayer
13151,0,0,0.291322,7.0,1998,Hiroshi Aoyama
17915,0,15,0.289515,5.7,1998,Randa Haines
8129,0,0,0.288098,6.8,1998,Ken Loach
10616,0,0,0.276601,6.1,1998,Wei Tung
12538,0,13035599,0.276165,5.4,1998,Penelope Spheeris
17941,0,0,0.266021,5.8,1998,Johathan Darby
9464,1500000,2375097,0.263935,6.9,1998,Vincent Gallo
9490,8000000,17460020,0.262171,6.3,1998,Tamra Davis
1448,0,0,0.258956,4.9,1998,Po-Chih Leong
22318,0,0,0.2515,6.0,1998,David Veloz
3033,10000000,6451628,0.189141,5.6,1998,Bill Condon
22256,25000000,777423,0.245817,6.0,1998,Robert Towne
4975,0,0,0.245625,6.5,1998,John Maybury
9835,10000000,19000000,0.240661,5.7,1998,Jim Abrahams
21661,0,10224116,0.236078,4.5,1998,Richard Martin
16148,5000000,1980338,0.235951,5.8,1998,Jake Kasdan
27850,0,0,0.233097,6.2,1998,Duwayne Dunham
10940,0,0,0.231134,6.6,1998,Michael Vejar
19154,0,0,0.23042,2.9,1998,Kevin Tenney
24746,2000000,124494,0.226558,5.8,1998,Lance Mungia
12888,0,0,0.226519,7.0,1998,Hype Williams
11660,0,0,0.225908,7.1,1998,Christopher Nolan
10278,0,0,0.223472,6.4,1998,Joseph Ruben
16365,0,0,0.222133,4.8,1998,Ernest R. Dickerson
15162,0,0,0.216774,4.7,1998,John Henderson
10593,0,0,0.214753,4.2,1998,Dario Argento
4927,1500000,870751,0.214567,4.8,1998,David Moreton
37498,33000000,0,0.195375,4.9,1998,Tsui Hark
10162,0,0,0.212835,7.5,1998,Kirk Jones
21736,0,76447420,0.207668,6.0,1998,David Breashears
14577,0,0,0.209832,6.4,1998,Bob Saget
24525,0,0,0.207296,5.4,1998,Anthony Drazan
19381,0,0,0.202889,6.4,1998,Sarah Kernochan
12257,15000000,10443316,0.194358,4.7,1998,Dean Parisot
11855,0,0,0.182296,5.5,1998,John Waters
45242,0,0,0.236631,5.4,1998,Charles T. Kanganis
38017,0,0,0.189048,5.1,1998,David Carson
27791,1100000,631221,0.188201,4.8,1998,John Pieplow
12229,0,0,0.186773,5.8,1998,Paul McGuigan
17127,15000000,46905889,0.18358,5.1,1998,Nicholas Hytner
11603,0,0,0.18093,4.9,1998,Jeff Bleckner
66892,0,0,0.175128,3.7,1998,Russell Mulcahy
47881,0,7985929,0.173959,4.8,1998,Michael Lehmann
33271,0,0,0.164434,5.4,1998,Tibor Tak¨¢cs
42807,27000000,76000000,0.26504,6.4,1998,Richard Linklater
33644,20000000,37672350,0.162242,6.5,1998,Kevin Rodney Sullivan
1618,0,0,0.157447,7.6,1998,Brian Gibson
27472,0,0,0.155821,6.2,1998,Howard Deutch
8545,0,0,0.640131,5.9,1998,Mark Herman
31220,0,0,0.148915,4.0,1998,Todd Holland
15043,0,0,0.1461,5.9,1998,Greg Beeman
36606,0,0,0.142692,6.3,1998,Sarah Kelly
