id,budget,revenue,popularity,vote_average,release_year,if_novels
395,70000000,171183863,1.348704,5.5,2004,Not base on novel
9472,20000000,167722310,1.338131,6.2,2004,Not base on novel
10045,12000000,9584131,1.327137,6.5,2004,Not base on novel
1966,155000000,167298192,1.319068,5.6,2004,Not base on novel
11282,9000000,23936908,1.318761,6.4,2004,Not base on novel
176,1200000,103911669,1.309753,7.1,2004,Not base on novel
558,200000000,783766341,1.304553,6.4,2004,Not base on novel
9352,25000000,20796847,1.279087,6.4,2004,Not base on novel
9509,70000000,130293714,1.277711,7.3,2004,Not base on novel
5966,42000000,171963386,1.23067,5.7,2004,Not base on novel
2288,27000000,115505027,1.208837,6.6,2004,Not base on novel
7220,33000000,54700105,1.131654,6.0,2004,Not base on novel
314,100000000,82102379,1.129322,4.3,2004,Not base on novel
13673,60000000,0,1.12564,5.3,2004,Not base on novel
27,1000000,332323,1.1173,5.2,2004,Not base on novel
924,28000000,102356381,1.107167,6.7,2004,Not base on novel
9477,120000000,203567857,1.06218,6.1,2004,Not base on novel
2789,105000000,115772733,1.052176,6.2,2004,Not base on novel
2539,80000000,55041367,1.042281,5.6,2004,Not base on novel
1586,40000000,92913171,1.03943,6.3,2004,Not base on novel
4836,6500000,11850214,1.035728,7.0,2004,Not base on novel
10589,60000000,61347797,0.986444,6.0,2004,Not base on novel
14623,57000000,28283637,0.976399,4.4,2004,Not base on novel
11130,40000000,95149435,0.961847,5.9,2004,Not base on novel
10733,145000000,25819961,0.94856,5.9,2004,Not base on novel
80,2700000,15992615,0.939705,7.5,2004,Not base on novel
1970,10000000,183474602,0.935831,5.8,2004,Not base on novel
9759,25000000,56422687,0.935483,6.0,2004,Not base on novel
14462,80000000,96105964,0.927088,6.1,2004,Not base on novel
4553,5000000,8203235,0.925121,7.2,2004,Not base on novel
11249,12000000,24829644,0.924363,4.9,2004,Not base on novel
11045,25000000,36609966,0.922087,5.0,2004,Not base on novel
8849,60000000,13395939,0.898601,5.4,2004,Not base on novel
14247,0,0,0.893922,5.3,2004,Not base on novel
4380,50000000,170128460,0.87766,5.8,2004,Not base on novel
9541,35000000,36098382,0.874938,5.7,2004,Not base on novel
9890,90000000,102000000,0.8676,5.4,2004,Not base on novel
14337,7000,424760,0.856329,6.9,2004,Not base on novel
11633,10000000,1461989,0.845493,6.7,2004,Not base on novel
13700,110000000,103951461,0.837906,5.8,2004,Not base on novel
